-BEGIN HEADER-
Dataset: NASA_Sukabumi_Hourly.csv
Variabel: RH2M
Forecast Summary:
Ringkasan prediksi kelembaban udara (RH2M) untuk periode 01-01-2023 hingga 08-01-2023:

▸ Statistik: rata-rata 87.50 % (sangat lembab), tertinggi 90.21 %, terendah 83.49 %, standar deviasi 2.36 %. Rentang nilai harian mencapai 6.72 %.

▸ Pola harian: puncak sekitar pukul 02:00, lembah sekitar pukul 13:00. Tren meningkat menuju akhir periode.

▸ Analisis: Kelembaban tinggi perlu diperhatikan karena berpotensi mempercepat korosi pada komponen turbin. Pemantauan berkala tetap disarankan untuk mengantisipasi perubahan kondisi atmosfer yang dapat mempengaruhi kinerja sistem.

▸ Performa model: XGB — MAE **0.408** %, RMSE **0.569** %, sMAPE **0.49%**, R² **0.993** (sangat baik). Model mampu menjelaskan variasi data dengan kemampuan sangat baik. Akurasi keseluruhan tergolong **tinggi**.

-END HEADER-

YEAR;MO;DY;HR;RH2M;GBR;XGB;KNN;LSTM;BiLSTM
2013;1;11;6;91,06;90,867;90,742;90,112;90,792;89,92
2013;1;11;7;89,88;89,114;89,392;88,834;89,729;88,612
2013;1;11;8;88,06;87,623;87,918;87,181;87,6;86,158
2013;1;11;9;86,62;86,011;86,178;85,461;85,202;84,403
2013;1;11;10;85,12;84,498;84,661;83,852;83,763;83,499
2013;1;11;11;84,44;83,62;84,066;83,11;83,471;83,321
2013;1;11;12;83,38;83,088;83,325;82,841;83,556;83,653
2013;1;11;13;81,5;82,886;83,668;82,899;83,68;84,122
2013;1;11;14;80,88;82,228;82,014;82,928;83,422;84,385
2013;1;11;15;81,12;82,572;82,088;82,977;82,775;84,094
2013;1;11;16;82,81;84,026;83,76;84,336;83,156;84,249
2013;1;11;17;87,0;86,297;86,391;86,55;84,711;85,615
2013;1;11;18;90,19;89,088;89,367;89,146;86,85;87,494
2013;1;11;19;90,5;90,353;90,685;90,489;89,177;88,96
2013;1;11;20;89,94;90,618;90,868;90,941;90,898;90,325
2013;1;11;21;89,94;90,481;90,246;90,954;91,468;90,672
2013;1;11;22;90,94;90,593;90,428;91,06;91,217;90,301
2013;1;11;23;92,56;91,231;91,407;91,424;90,907;89,98
2013;1;12;0;93,25;92,388;92,729;91,766;91,067;90,208
2013;1;12;1;92,75;92,861;93,186;91,951;91,94;91,245
2013;1;12;2;92,75;92,875;92,83;92,131;92,853;92,166
2013;1;12;3;92,44;92,662;92,585;92,076;93,236;92,611
2013;1;12;4;91,75;92,3;92,206;91,839;93,014;92,487
2013;1;12;5;91,31;91,653;91,547;91,275;92,302;91,826
2013;1;12;6;90,88;90,867;90,606;90,234;90,946;90,542
2013;1;12;7;89,69;88,963;88,804;89,181;88,981;88,651
2013;1;12;8;87,19;86,952;87,409;87,75;86,888;85,885
2013;1;12;9;84,62;84,823;84,933;86,401;84,98;84,246
2013;1;12;10;82,75;82,827;82,616;84,507;82,883;82,816
2013;1;12;11;82,06;81,159;81,721;83,113;80,871;81,348
2013;1;12;12;81,62;81,368;81,164;82,326;80,071;80,685
2013;1;12;13;81,69;81,544;81,599;82,261;80,812;81,196
2013;1;12;14;82,75;82,346;82,391;82,773;82,269;82,622
2013;1;12;15;84,88;83,618;84,565;83,527;84,079;84,61
2013;1;12;16;87,31;85,592;86,517;85,375;86,385;87,269
2013;1;12;17;89,38;88,752;89,503;88,441;88,822;89,04
2013;1;12;18;90,81;90,753;91,183;90,572;90,479;90,189
2013;1;12;19;91,38;91,045;91,264;91,323;91,144;90,992
2013;1;12;20;91,12;91,211;91,425;91,367;91,396;91,426
2013;1;12;21;91,12;91,381;91,364;91,505;91,593;91,535
2013;1;12;22;91,44;91,373;91,334;91,547;91,689;91,347
2013;1;12;23;92,0;91,648;91,668;91,597;91,727;91,062
2013;1;13;0;92,5;92,057;92,071;91,871;91,794;91,038
2013;1;13;1;92,44;92,388;92,446;91,998;92,116;91,523
2013;1;13;2;92,12;92,387;92,364;92,134;92,457;92,01
2013;1;13;3;92,06;92,275;92,138;91,941;92,619;92,359
2013;1;13;4;92,06;92,06;91,978;91,835;92,377;92,168
2013;1;13;5;92,06;91,936;91,889;91,371;91,834;91,552
2013;1;13;6;91,12;91,287;91,141;90,617;91,104;90,709
2013;1;13;7;89,5;89,248;89,323;89,336;89,926;89,751
2013;1;13;8;86,69;86,578;86,954;87,86;87,733;87,095
2013;1;13;9;83,44;83,857;83,929;85,549;84,825;84,584
2013;1;13;10;80,44;81,365;81,111;83,43;81,936;82,294
2013;1;13;11;78,94;78,684;79,079;81,647;79,362;80,024
2013;1;13;12;78,81;78,703;78,303;80,856;77,629;78,369
2013;1;13;13;80,0;78,916;78,961;80,506;77,753;78,162
2013;1;13;14;81,75;80,647;80,672;81,434;79,986;79,842
2013;1;13;15;84,06;82,986;83,633;82,688;83,356;82,845
2013;1;13;16;86,94;85,025;86,109;85,502;86,444;86,273
2013;1;13;17;89,94;88,625;89,501;88,358;88,644;88,581
2013;1;13;18;91,94;90,949;91,502;90,492;90,175;89,824
2013;1;13;19;92,69;91,926;92,433;91,141;91,31;90,997
2013;1;13;20;93,12;92,691;93,072;91,505;92,142;91,878
2013;1;13;21;93,56;93,181;93,359;91,717;92,708;92,309
2013;1;13;22;93,81;93,387;93,561;91,999;93,138;92,489
2013;1;13;23;93,5;93,633;93,717;92,117;93,494;92,593
2013;1;14;0;93,0;93,387;93,346;92,322;93,641;92,694
2013;1;14;1;92,5;92,967;92,964;92,264;93,636;93,009
2013;1;14;2;92,12;92,626;92,487;92,224;93,341;93,045
2013;1;14;3;92,0;92,275;92,175;92,151;92,861;92,929
2013;1;14;4;91,88;91,919;91,912;92,001;92,252;92,443
2013;1;14;5;91,88;91,748;91,675;91,669;91,608;91,597
2013;1;14;6;90,5;90,991;90,843;91,098;90,876;90,555
2013;1;14;7;88,5;88,739;88,399;89,567;89,608;88,798
2013;1;14;8;86,0;85,76;85,499;87,643;86,952;85,879
2013;1;14;9;83,62;83,129;83,577;85,109;83,497;83,403
2013;1;14;10;82,12;81,719;81,66;83,185;81,048;81,719
2013;1;14;11;81,62;80,337;80,726;82,26;80,208;80,769
2013;1;14;12;82,19;81,072;80,948;82,011;80,66;80,814
2013;1;14;13;83,25;81,937;82,927;82,328;81,974;81,964
2013;1;14;14;84,75;83,521;84,722;83,254;83,957;84,031
2013;1;14;15;87,0;85,217;86,211;84,809;86,183;86,524
2013;1;14;16;88,94;86,731;88,323;87,289;88,341;88,995
2013;1;14;17;90,69;89,887;90,311;89,98;90,167;90,01
2013;1;14;18;92,0;91,202;91,747;90,997;91,195;90,895
2013;1;14;19;92,88;92,01;92,349;91,582;91,646;91,516
2013;1;14;20;94,12;92,924;93,303;92,153;92,062;92,004
2013;1;14;21;94,94;93,823;94,131;92,672;92,693;92,417
2013;1;14;22;95,25;94,514;94,818;92,755;93,558;92,853
2013;1;14;23;95,06;94,77;95,036;92,732;94,361;93,206
2013;1;15;0;94,56;94,653;94,738;92,432;94,725;93,407
2013;1;15;1;94,06;94,312;94,453;92,435;94,79;93,838
2013;1;15;2;93,19;93,83;93,836;92,405;94,521;94,043
2013;1;15;3;92,62;93,261;93,201;92,497;94,009;93,992
2013;1;15;4;91,56;92,243;92,326;92,384;93,192;93,379
2013;1;15;5;91,44;91,724;91,388;91,884;92,086;92,18
2013;1;15;6;90,5;90,603;90,391;90,748;90,63;90,656
2013;1;15;7;89,69;88,835;88,693;89,729;88,915;88,32
2013;1;15;8;88,56;87,375;87,88;88,158;87,02;85,839
2013;1;15;9;87,19;86,202;86,656;86,675;85,643;84,864
2013;1;15;10;85,44;85,023;85,509;85,484;85,275;84,998
2013;1;15;11;83,69;83,768;84,065;84,564;84,986;84,97
2013;1;15;12;82,5;82,832;82,908;83,815;83,926;84,343
2013;1;15;13;81,75;82,299;82,791;83,317;82,675;83,522
2013;1;15;14;81,56;82,228;81,99;83,166;82,368;83,305
2013;1;15;15;82,56;82,986;83,165;83,762;83,169;83,996
2013;1;15;16;85,19;84,312;84,54;85,466;84,625;85,47
2013;1;15;17;89,31;87,959;88,437;88,405;86,536;87,779
2013;1;15;18;91,81;90,502;91,015;90,302;88,809;89,087
2013;1;15;19;92,44;91,788;92,164;91,315;90,99;90,773
2013;1;15;20;92,5;92,381;92,767;91,861;92,415;92,071
2013;1;15;21;92,62;92,592;92,728;92,204;92,971;92,488
2013;1;15;22;92,69;92,698;92,754;92,312;93,029;92,397
2013;1;15;23;92,88;92,814;92,888;92,157;92,941;92,149
2013;1;16;0;93,12;92,861;92,993;92,47;92,792;91,983
2013;1;16;1;93,31;93,188;93,291;92,655;92,861;92,287
2013;1;16;2;93,44;93,297;93,312;92,655;93,006;92,641
2013;1;16;3;93,25;93,311;93,273;91,182;93,159;93,012
2013;1;16;4;92,88;93,195;93,154;91,078;93,15;92,981
2013;1;16;5;92,62;92,65;92,659;90,413;92,798;92,38
2013;1;16;6;92,06;91,953;91,621;89,522;91,963;91,335
2013;1;16;7;91,19;89,739;90,368;88,428;90,502;90,18
2013;1;16;8;90,31;89,039;89,826;89,38;88,569;87,745
2013;1;16;9;89,44;88,629;89,208;88,049;86,978;86,156
2013;1;16;10;88,75;87,936;88,669;87,031;86,528;85,746
2013;1;16;11;88,0;87,235;87,727;85,966;86,767;86,088
2013;1;16;12;86,38;86,192;86,922;85,444;86,951;86,721
2013;1;16;13;85,19;85,185;86,34;84,902;86,678;87,232
2013;1;16;14;84,81;85,102;85,696;84,829;85,88;87,266
2013;1;16;15;85,25;85,181;85,916;85,484;85,674;87,372
2013;1;16;16;86,62;85,937;86,61;87,035;86,671;88,385
2013;1;16;17;89,0;88,584;89,119;89,222;88,172;89,115
2013;1;16;18;90,44;90,148;90,468;90,706;89,517;89,785
